,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,Tweet,cleaned_hashtag
10,scarletmonahan,"looking in-looking on,
making art, still trying to work out the difference between a smile & a grin
photographic artist sculpture poet controversial celebrity",United Kingdom,23823,336461,1942658,2011-05-03 23:23:17,2020-07-26 02:53:08,0,Alan Self isolation Day 16 Who are you? https://t.co/fk22LYGQOj . #animation #animated #Quarantine #lockdownextension #lockdown #UKlockdown #Icanthearyou #stockpilinguk #SocialDistancinguk #SocialDistancing #StayHomeSaveLifes #IcanthearyouAlan #SelfIsolation 82,"[{'text': 'animation', 'indices': [66, 76]}, {'text': 'animated', 'indices': [77, 86]}, {'text': 'Quarantine', 'indices': [87, 98]}, {'text': 'lockdownextension', 'indices': [99, 117]}, {'text': 'lockdown', 'indices': [118, 127]}, {'text': 'UKlockdown', 'indices': [128, 139]}, {'text': 'Icanthearyou', 'indices': [140, 153]}, {'text': 'stockpilinguk', 'indices': [154, 168]}, {'text': 'SocialDistancinguk', 'indices': [169, 188]}, {'text': 'SocialDistancing', 'indices': [189, 206]}, {'text': 'StayHomeSaveLifes', 'indices': [207, 225]}, {'text': 'IcanthearyouAlan', 'indices': [226, 243]}, {'text': 'SelfIsolation', 'indices': [244, 258]}]","['alan', 'self', 'isolation', 'day', '-PRON-']","['#animation', '#animated', '#Quarantine', '#lockdownextension', '#lockdown', '#UKlockdown', '#Icanthearyou', '#stockpilinguk', '#SocialDistancinguk', '#SocialDistancing', '#StayHomeSaveLifes', '#IcanthearyouAlan', '#SelfIsolation']"
11,ownyourcrohns,"Advocate & Disruptive Innovator; #MinorityHealth: IBD, Ostomy, Fistula, Gastroparesis, Pelvic Pain • MPH @IcahnMountSinai • English, Spanish, Hindi • She/Her","New York, NY",1668,2220,7989,2014-10-28 04:02:30,2020-07-26 02:53:05,0,"@BMC_IBD showcasing how core an #IBD pharmacist’s role is in managing patient infusions, education &amp; well-being during the #pandemic. 👏🏽👏🏽👏🏽 @moss_md @GI_PharmD https://t.co/MLgdS5Zhlz","[{'text': 'IBD', 'indices': [32, 36]}, {'text': 'pandemic', 'indices': [127, 136]}]","['ibd', 'showcas', 'core', 'pharmacist', 'role', 'manage', 'patient', 'infusion', 'education', 'amp', 'well', 'be', 'pharmd']","['#IBD', '#pandemic.']"
12,DanaLPride,"Motion graphics designer, author, book editor, app developer, wife, mother, Christian, video producer, joyful","Yakima, WA, USA",182,224,7757,2009-09-16 02:27:27,2020-07-26 02:52:43,0,"Each black flag - nearly 200 - represents a person in our county who died from COVID-19.  I knew 3 of them. 
#COVID #pandemic https://t.co/dmDek0DY7e","[{'text': 'COVID', 'indices': [109, 115]}, {'text': 'pandemic', 'indices': [116, 125]}]","['black', 'flag', 'nearly', '200', 'represent', 'person', 'county', 'die', 'covid', 'know', '-PRON-', 'covid']",['#pandemic']
13,8020Mentor,"A #Jedi, Investor, Founder, Author, Reader, Mentor, Gamer, Member of @Ubuntu & Previously @Gnome
@RichardKoch8020's changed my life with his #book (cover pic).",Australia 🇦🇺 ,949,194,3798,2016-05-09 04:38:05,2020-07-26 02:52:12,0,"@sexenheimer The #ignorance is on its highest level during hard and tough times like this. 
People are super selfish, this is clearly what is happening nowadays.
That is NOT freedom of speech.
That is NOT human rights.
That was a super selfish act.

We are in a global #pandemic, so WAKE UP!","[{'text': 'ignorance', 'indices': [17, 27]}, {'text': 'pandemic', 'indices': [269, 278]}]","['high', 'level', 'hard', 'tough', 'time', 'like', 'this', 'people', 'super', 'selfish', 'clearly', 'happen', 'nowadays', 'that', 'freedom', 'speech', 'that', 'human', 'right', 'that', 'super', 'selfish', 'act', 'global', 'wake']","['#ignorance', '#pandemic,']"
14,8020Mentor,"A #Jedi, Investor, Founder, Author, Reader, Mentor, Gamer, Member of @Ubuntu & Previously @Gnome
@RichardKoch8020's changed my life with his #book (cover pic).",Australia 🇦🇺 ,949,194,3798,2016-05-09 04:38:05,2020-07-26 02:51:26,0,"@iamemilymayo The #ignorance is on its highest level during hard and tough times like this. 
People are super selfish, this is clearly what is happening nowadays.
That is NOT freedom of speech.
That is NOT human rights.
That was a super selfish act.

We are in a global #pandemic, so WAKE UP!","[{'text': 'ignorance', 'indices': [18, 28]}, {'text': 'pandemic', 'indices': [270, 279]}]","['high', 'level', 'hard', 'tough', 'time', 'like', 'this', 'people', 'super', 'selfish', 'clearly', 'happen', 'nowadays', 'that', 'freedom', 'speech', 'that', 'human', 'right', 'that', 'super', 'selfish', 'act', 'global', 'wake']","['#ignorance', '#pandemic,']"
15,8020Mentor,"A #Jedi, Investor, Founder, Author, Reader, Mentor, Gamer, Member of @Ubuntu & Previously @Gnome
@RichardKoch8020's changed my life with his #book (cover pic).",Australia 🇦🇺 ,949,194,3798,2016-05-09 04:38:05,2020-07-26 02:51:09,0,"The #ignorance is on its highest level during hard and tough times like this. 
People are super selfish, this is clearly what is happening nowadays.
That is NOT freedom of speech.
That is NOT human rights.
That was a super selfish act.

We are in a global #pandemic, so WAKE UP! https://t.co/fKKVw1b2Wa","[{'text': 'ignorance', 'indices': [4, 14]}, {'text': 'pandemic', 'indices': [256, 265]}]","['high', 'level', 'hard', 'tough', 'time', 'like', 'this', 'people', 'super', 'selfish', 'clearly', 'happen', 'nowadays', 'that', 'freedom', 'speech', 'that', 'human', 'right', 'that', 'super', 'selfish', 'act', 'global', 'wake']","['#ignorance', '#pandemic,']"
16,YesThatBrooke,Proud father of 2 great sons; rugby/crew dad; recovering journalist. Mostly tweet about soccer and other sports but most definitely do NOT stick just to sports!,"Washington, DC",470,1960,47026,2013-01-08 19:33:04,2020-07-26 02:50:53,0,@SteveDavis90 Are we just gonna ignore that in frikkin' #Georgia the titty bars are still open during a #pandemic?,"[{'text': 'Georgia', 'indices': [56, 64]}, {'text': 'pandemic', 'indices': [104, 113]}]","['go', 'to', 'ignore', 'frikkin', 'titty', 'bar', 'still', 'open']","['#Georgia', '#pandemic?']"
17,refineyourworth,Aaron Keith | Entrepreneur | Everywhere,,1276,4084,5217,2019-06-01 22:58:26,2020-07-26 02:50:45,0,"There are a lot of people out there looking for jobs amidst this #pandemic.  Quit looking for a job and realize that this is the time YOU'VE BEEN WAITING FOR to start your own business.  Learn How Today #Entrepreneurship #lifestyle 
https://t.co/XRsUikTNI6 #freedom #careers #jobs","[{'text': 'pandemic', 'indices': [65, 74]}, {'text': 'Entrepreneurship', 'indices': [203, 220]}, {'text': 'lifestyle', 'indices': [221, 231]}, {'text': 'freedom', 'indices': [257, 265]}, {'text': 'careers', 'indices': [266, 274]}, {'text': 'jobs', 'indices': [275, 280]}]","['lot', 'people', 'look', 'job', 'amidst', 'quit', 'look', 'job', 'realize', 'time', 'waiting', 'start', 'business', 'learn', 'today']","['#pandemic.', '#Entrepreneurship', '#lifestyle', '#freedom', '#careers', '#jobs']"
18,MaLadykiller,He/Him/They.,,4949,480,40216,2013-09-30 17:31:18,2020-07-26 02:50:16,1,"Ashley is currently out of work during the #pandemic and needs help paying #bills and taking care of her #cats.
#TransCrowdfund
#PovertyCrowdfund https://t.co/8g3Q6WF2zG","[{'text': 'pandemic', 'indices': [43, 52]}, {'text': 'bills', 'indices': [75, 81]}, {'text': 'cats', 'indices': [105, 110]}, {'text': 'TransCrowdfund', 'indices': [112, 127]}, {'text': 'PovertyCrowdfund', 'indices': [128, 145]}]","['ashley', 'currently', 'work', 'need', 'help', 'pay', 'take', 'care']","['#pandemic', '#bills', '#cats.\n#TransCrowdfund\n#PovertyCrowdfund']"
19,8w8h8y8,Best revenge is success & happiness. Retired at 53. Spending time with my Dad before it's too late.,Behind U,720,196,13479,2014-02-26 00:32:57,2020-07-26 02:50:10,0,"@markknoller @AmericaFirstPAC Now @BrettFavre will be forever connected to the #BunkerBoy who's incompetence resulted in 
4M+ Americans infected
150K+ Americans dead
40M+ starving, unemployed soon to be w/o healthcare
Ignore bounties on US soldiers
#COVIDIDIOTS #coronavirus #pandemic #TrumpPandemicFailure https://t.co/DP3LdZeY5O","[{'text': 'BunkerBoy', 'indices': [79, 89]}, {'text': 'COVIDIDIOTS', 'indices': [249, 261]}, {'text': 'coronavirus', 'indices': [262, 274]}, {'text': 'pandemic', 'indices': [275, 284]}, {'text': 'TrumpPandemicFailure', 'indices': [285, 306]}]","['forever', 'connect', 'who', 'incompetence', 'result', 'americans', 'infect', '150', 'k', 'americans', 'dead', '40', 'm', 'starve', 'unemployed', 'soon', 'healthcare', 'ignore', 'bounty', 'soldier', 'covididiots']","['#BunkerBoy', '#coronavirus', '#pandemic', '#TrumpPandemicFailure']"
20,wholetthemumout,"Lifestyle blogger. PR Friendly Married to a handsome Brit. Love dancing, red wine, singing and creating things. Mummy to 2 adorable boys.","Las Vegas, NV",4902,3618,12454,2015-04-26 06:36:01,2020-07-26 02:50:03,0,Staying Healthy During a Pandemic - https://t.co/QKtxKh5jxE #pandemic #health #healthy #coolapps #greatapps #exercising #supplements #vitamins #healthymom #easyworkouts https://t.co/eLAm0SB3Fc,"[{'text': 'pandemic', 'indices': [60, 69]}, {'text': 'health', 'indices': [70, 77]}, {'text': 'healthy', 'indices': [78, 86]}, {'text': 'coolapps', 'indices': [87, 96]}, {'text': 'greatapps', 'indices': [97, 107]}, {'text': 'exercising', 'indices': [108, 119]}, {'text': 'supplements', 'indices': [120, 132]}, {'text': 'vitamins', 'indices': [133, 142]}, {'text': 'healthymom', 'indices': [143, 154]}, {'text': 'easyworkouts', 'indices': [155, 168]}]","['stay', 'healthy', 'pandemic']","['#pandemic', '#health', '#healthy', '#coolapps', '#greatapps', '#exercising', '#supplements', '#vitamins', '#healthymom', '#easyworkouts']"
21,IAM__Network,"Curation | Tools | Tips | Services

IAM Platform powers IAM Network:

GO: https://t.co/OJVc7LULBT

Blog | Social | Podcast | Code Trove",Worldwide,14935,17815,740825,2010-12-13 21:24:29,2020-07-26 02:50:00,0,"Coronavirus update San Antonio, July 23: County judge says jail ‘running out of room’ due to overcrowding from inmates not taken by state 

READ MORE: https://t.co/oYUFGERDv8

#cdc #coronavirus #covid19 #mers #outbreak #pandemic #sars #ViralOutbreak #virus #who~ https://t.co/LOdN49wlel","[{'text': 'cdc', 'indices': [176, 180]}, {'text': 'coronavirus', 'indices': [181, 193]}, {'text': 'covid19', 'indices': [194, 202]}, {'text': 'mers', 'indices': [203, 208]}, {'text': 'outbreak', 'indices': [209, 218]}, {'text': 'pandemic', 'indices': [219, 228]}, {'text': 'sars', 'indices': [229, 234]}, {'text': 'ViralOutbreak', 'indices': [235, 249]}, {'text': 'virus', 'indices': [250, 256]}, {'text': 'who', 'indices': [257, 261]}]","['coronavirus', 'update', 'san', 'antonio', 'july', 'county', 'judge', 'say', 'jail', 'running', 'room', 'due', 'overcrowd', 'inmate', 'take', 'state', 'read', 'more']","['#coronavirus', '#covid19', '#mers', '#outbreak', '#pandemic', '#sars', '#ViralOutbreak', '#virus', '#who~']"
22,ed_mehler,HYSTERICALLY Funny SAG-AFTRA Character Actor rep’d by Master Talent Agency 🎭🎬🎥 https://t.co/MXb62nc7R0 AND loving Dad!!! ❤️❤️ BIG @dodgers fan! ⚾️,"Thousand Oaks, CA",1438,369,3752,2015-12-15 03:28:11,2020-07-26 02:49:46,0,"People that tip on food deliveries are the C-L-A-S-S-I-E-S-T customers and those that do NOT are s#*t! Hint: I had a GREAT night! No big deal, but I AM delivering your food to ur door during a health PANDEMIC! #delivery #food #tips #thankful  #appreciative #pandemic #stayingsafe https://t.co/wdICgzX9k1","[{'text': 'delivery', 'indices': [210, 219]}, {'text': 'food', 'indices': [220, 225]}, {'text': 'tips', 'indices': [226, 231]}, {'text': 'thankful', 'indices': [232, 241]}, {'text': 'appreciative', 'indices': [243, 256]}, {'text': 'pandemic', 'indices': [257, 266]}, {'text': 'stayingsafe', 'indices': [267, 279]}]","['people', 'tip', 'food', 'delivery', 'customer', 'hint', 'great', 'night', 'big', 'deal', 'deliver', 'food', 'door', 'health', 'pandemic']","['#delivery', '#food', '#tips', '#thankful\xa0', '#appreciative', '#pandemic', '#stayingsafe']"
23,DanaLPride,"Motion graphics designer, author, book editor, app developer, wife, mother, Christian, video producer, joyful","Yakima, WA, USA",182,224,7757,2009-09-16 02:27:27,2020-07-26 02:49:38,0,"Each red flag - nearly 10,000 - represents a person in our county who has COVID-19.  It took me more than 7 minutes to walk from one end to the other. This is our community. 
#COVID #pandemic https://t.co/3VK4ZUBNWM","[{'text': 'COVID', 'indices': [175, 181]}, {'text': 'pandemic', 'indices': [182, 191]}]","['red', 'flag', 'nearly', '000', 'represent', 'person', 'county', 'covid', 'take', 'minute', 'walk', 'one', 'end', 'other', 'community', 'covid']",['#pandemic']
24,JLinefitness,"To offer the most sought after and comprehensive collection of fitness options, facilities, health eateries, natural supplementation and wellness consultation.",Shirley St Nassau Bahamas,251,163,830,2013-07-03 15:47:42,2020-07-26 02:49:32,0,We miss you already :(   #covıd19 #coronavirus #pandemic #safetyfirst #health #lockdown #gymclosed #gym #Bahamas @ J-Line Fitness Bahamas https://t.co/XZPrvP9nE8,"[{'text': 'covıd19', 'indices': [25, 33]}, {'text': 'coronavirus', 'indices': [34, 46]}, {'text': 'pandemic', 'indices': [47, 56]}, {'text': 'safetyfirst', 'indices': [57, 69]}, {'text': 'health', 'indices': [70, 77]}, {'text': 'lockdown', 'indices': [78, 87]}, {'text': 'gymclosed', 'indices': [88, 98]}, {'text': 'gym', 'indices': [99, 103]}, {'text': 'Bahamas', 'indices': [104, 112]}]","['miss', 'already', 'line', 'fitness', 'bahamas']","['#covıd19', '#coronavirus', '#pandemic', '#safetyfirst', '#health', '#lockdown', '#gymclosed', '#gym', '#Bahamas']"
25,japanesehotporn,"https://t.co/JiOkMblYv5
adults only, or 18 and older/Please Retweet♪

English → https://t.co/0qNHfq1Doo",,12262,14588,53519,2014-08-17 06:11:17,2020-07-26 02:49:03,0,"LIVE STREAMS OF 17000 ASIAN GIRLS🤩
 https://t.co/Ua51NDKJyF

#japanese #HDQUALITY #porn #ASIAN #DXLIVE #like4like #YOLO #COVID19 #Socialdistancing #selfquarantine #Stayathome
 #Shelterinplace #Lockdown #tokyo

English → https://t.co/WGV1RxyOG6  💘💕💋","[{'text': 'japanese', 'indices': [61, 70]}, {'text': 'HDQUALITY', 'indices': [71, 81]}, {'text': 'porn', 'indices': [82, 87]}, {'text': 'ASIAN', 'indices': [88, 94]}, {'text': 'DXLIVE', 'indices': [95, 102]}, {'text': 'like4like', 'indices': [103, 113]}, {'text': 'YOLO', 'indices': [114, 119]}, {'text': 'COVID19', 'indices': [120, 128]}, {'text': 'Socialdistancing', 'indices': [129, 146]}, {'text': 'selfquarantine', 'indices': [147, 162]}, {'text': 'Stayathome', 'indices': [163, 174]}, {'text': 'Shelterinplace', 'indices': [176, 191]}, {'text': 'Lockdown', 'indices': [192, 201]}, {'text': 'tokyo', 'indices': [202, 208]}]","['live', 'streams', '17000', 'asian', 'girl']","['#HDQUALITY', '#porn', '#ASIAN', '#DXLIVE', '#like4like', '#YOLO', '#COVID19', '#Socialdistancing', '#selfquarantine', '#Stayathome\n', '#Shelterinplace', '#Lockdown', '#tokyo\n\nEnglish']"
26,Tosibhussain1,Your Weakness Cannot Stop You  to DREAM Big,"मुरादाबाद, भारत",0,1,116,2020-07-08 03:54:41,2020-07-26 02:48:55,0,Cancel #Exams for students Promote them on the basis of their past Performance during a #Pandemic #Covidtimes let’s not risk their lives #NoExamMHRD #NoExamUGC @ugc_india @DrRPNishank @HRDMINISTRY @dsdcmofficeup @PMOIndia @narendramodi @drdineshbjp @UPGovt @MJPRUniv,"[{'text': 'Exams', 'indices': [7, 13]}, {'text': 'Pandemic', 'indices': [88, 97]}, {'text': 'Covidtimes', 'indices': [98, 109]}, {'text': 'NoExamMHRD', 'indices': [137, 148]}, {'text': 'NoExamUGC', 'indices': [149, 159]}]","['cancel', 'student', 'promote', 'basis', 'past', 'performance', 'let', 'risk', 'live', 'india']","['#Exams', '#Pandemic', '#Covidtimes', '#NoExamMHRD', '#NoExamUGC']"
27,devAnthony__,Change is inevitable.💡 19.,"New York, NY",25,20,137,2020-03-30 18:11:55,2020-07-26 02:47:51,0,19 YEAR OLD LGBT 🏳️‍🌈 ACTIVIST FROM JAMAICA LIVING MY BEST LIFE ! AND MI NUH TROUBLE NOBODY ! #lockdown. https://t.co/44N03gnVKo,"[{'text': 'lockdown', 'indices': [94, 103]}]","['year', 'old', 'lgbt', 'activist', 'jamaica', 'live', 'best', 'life', 'nuh', 'trouble', 'nobody']",['#lockdown.']
28,nativirod,Be smart. Use 😷. Keep 6' to avoid🗣. Wash 🤲 w/soap for 20 secs freq. Protect 👀. There is no #HerdImmunity w/#COVID19🦠. #NoTeQuitesLaMascarilla,"Puerto Rico 🇵🇷, Caribbean 🌎",221,268,10388,2017-10-04 03:01:52,2020-07-26 02:47:41,0,"@TheAtlantic @Kankaym @Peter_Wehner I don't feel any compassion for 45. He had none for over 3k that died in #PuertoRico after 🌀María hit us. He has none for millions affected by his incompetence to handle a #pandemic, with thousands of deaths. He is a damaged soul as Hitler was. I don't feel pity for psychopaths.","[{'text': 'PuertoRico', 'indices': [109, 120]}, {'text': 'pandemic', 'indices': [208, 217]}]","['wehner', 'feel', 'compassion', 'none', 'die', 'mar', 'hit', 'none', 'million', 'affect', 'incompetence', 'handle', 'thousand', 'death', 'damage', 'soul', 'hitler', 'be', 'feel', 'pity', 'psychopath']","['#PuertoRico', '#pandemic,']"
29,tv9gujarati,NO.1 GUJARATI NEWS CHANNEL. Follow us for breaking news and updates from Gujarat and India. For latest News Videos Subscribe https://t.co/qgmqtapacW,"Gujarat, India",171,515422,226183,2011-08-01 06:24:46,2020-07-26 02:47:29,1,"#UPDATE North Korean authorities impose a #lockdown on the border city of Kaesong after discovering their first 'suspected' COVID19 case: AFP news agency
#coronavirus #COVIDー19 #TV9News https://t.co/HJtYl7bIRg","[{'text': 'UPDATE', 'indices': [0, 7]}, {'text': 'lockdown', 'indices': [42, 51]}, {'text': 'coronavirus', 'indices': [154, 166]}, {'text': 'COVIDー19', 'indices': [167, 176]}, {'text': 'TV9News', 'indices': [177, 185]}]","['north', 'korean', 'authority', 'impose', 'border', 'city', 'kaesong', 'discover', 'first', 'suspect', 'covid19', 'case', 'afp', 'news', 'agency', 'coronavirus']","['#UPDATE', '#lockdown', '#COVIDー19', '#TV9News']"
